City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Souillac,MU,2022-05-15 23:48:06,-20.5167,57.5167,75.58,83,40,11.5
181,Yar-Sale,RU,2022-05-15 23:48:07,66.8333,70.8333,37.33,94,45,8.23
182,Sakaiminato,JP,2022-05-15 23:48:07,35.55,133.2333,58.98,77,75,8.05
183,Limbang,MY,2022-05-15 23:48:08,4.75,115.0,82.51,93,56,1.72
184,Arraial Do Cabo,BR,2022-05-15 23:48:53,-22.9661,-42.0278,74.37,82,89,20.65
185,Nabire,ID,2022-05-15 23:49:08,-3.3667,135.4833,75.97,92,100,2.13
186,Vanimo,PG,2022-05-15 23:49:09,-2.6741,141.3028,84.38,67,98,4.05
187,Nuzvid,IN,2022-05-15 23:49:09,16.7833,80.85,81.99,87,21,6.91
188,Aquiraz,BR,2022-05-15 23:46:49,-3.9014,-38.3911,80.69,88,100,7.45
189,Mar Del Plata,AR,2022-05-15 23:49:10,-38.0023,-57.5575,52.95,80,75,21.85
190,Saldanha,ZA,2022-05-15 23:49:11,-33.0117,17.9442,55.45,49,0,8.72
191,Moba,CN,2022-05-15 23:49:11,33.2288,105.0179,45.97,68,96,3.58
192,Beloha,MG,2022-05-15 23:49:11,-25.1667,45.05,66.9,87,0,11.12
193,Ust-Maya,RU,2022-05-15 23:49:12,60.4167,134.5333,39.38,73,100,10.65
194,Ovre Ardal,NO,2022-05-15 23:49:12,61.3167,7.8,37.02,93,98,3.47
195,Xining,CN,2022-05-15 23:49:13,36.6167,101.7667,39.45,71,33,2.26
196,Ligayan,PH,2022-05-15 23:49:13,4.6533,119.4706,81.63,79,36,1.95
197,Tanete,ID,2022-05-15 23:49:14,-3.9443,119.7848,80.1,87,26,3.87
198,Medea,DZ,2022-05-15 23:49:14,36.2642,2.7539,66.56,47,68,5.19
199,Victoria,HK,2022-05-15 23:46:00,22.2855,114.1577,68.38,88,100,8.99
200,Praya,CV,2022-05-15 23:49:15,14.9215,-23.5087,81.14,44,0,24.16
201,Butaritari,KI,2022-05-15 23:49:15,3.0707,172.7902,81.27,76,7,9.84
